spacing_bin,mean,std,count,ci_95,absolute_gain,percent_gain
<1m,0.84216439,0.329612412,7439,0.007490354,0,0
1-5m,0.912631808,0.252680759,85903,0.001689756,0.070467419,8.367418469
5-30m,0.914864767,0.249483638,75745,0.001776729,0.072700377,8.632563687
30m-1h,0.900540087,0.272748655,8403,0.005831785,0.058375697,6.931627324
1-4h,0.898563437,0.273977774,10338,0.00528145,0.056399047,6.696916638
4-24h,0.895631087,0.278762388,10192,0.005412034,0.053466698,6.348724601
