spacing_bin,difficulty_tier,next_p_recall
<1m,Hard,0.737346134
<1m,Medium,0.840094098
<1m,Easy,0.905685871
1-5m,Hard,0.828590743
1-5m,Medium,0.895465013
1-5m,Easy,0.937810317
5-30m,Hard,0.844821037
5-30m,Medium,0.902639374
5-30m,Easy,0.934749637
30m-1h,Hard,0.803401926
30m-1h,Medium,0.8853311
30m-1h,Easy,0.929389485
1-4h,Hard,0.798646395
1-4h,Medium,0.888555287
1-4h,Easy,0.925842557
4-24h,Hard,0.816490438
4-24h,Medium,0.885561755
4-24h,Easy,0.92096723
