spacing_bin,avg_next_recall,count
<1m,0.880565063,2586
1-5m,0.906496752,83391
5-30m,0.915631393,82837
30m-1h,0.89994632,8600
1-4h,0.898911496,10367
4-24h,0.895247457,10239
