spacing_bin,mean,std,count,ci_95
<1m,0.84216439,0.329612412,7439,0.007490354
1-5m,0.912631808,0.252680759,85903,0.001689756
5-30m,0.914864767,0.249483638,75745,0.001776729
30m-1h,0.900540087,0.272748655,8403,0.005831785
1-4h,0.898563437,0.273977774,10338,0.00528145
4-24h,0.895631087,0.278762388,10192,0.005412034
